node_id,name,ytag,pdu,backplane,type,parent,status,site,property,serialno,model,ponumber,locroom,locrow,locarea,loccage,locrack,locside,locshelf,racksize,console,cport,bootbox,bport,bmodule,bplug,bootbox2,bport2,bmodule2,bplug2,netswitch (Manual),sport (Manual) (Auto-discovered),netswitch (Auto-discovered),sport (Auto-discovered),vlan,mac,manufacturer,osname,bornondate,atime,c_time,m_time,notes,validation_status,procurement_ticket
197907,a1.grp.re1.yahoo.com,1023610,,a,host,,active,re1,groups|US,3XMW3C1,PowerEdge 860,,0,10,A,7,26,a,4,1,konsole7-10-26.re1.yahoo.com,30004,konsole7-10-26.re1.yahoo.com,30045,0,23,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/4,27,00:15:c5:f5:51:37,Dell Computer Corporation,FreeBSD,1169862294,1232662404,2007-01-26 17:44:54,2009-01-22 14:13:24,,validated hosts,
9962,a1.grp.scd.yahoo.com,5675,,,host,,active,scd,groups|US,,TR440BXA,4193,0,14,E,0,7,a,34,2,konsole62.scd.yahoo.com,30009,konsole.nonexistent,30045,0,1,,0,0,0,,0,,,,00:90:27:73:86:c5,Intel,FreeBSD,1019620479,1232662394,2002-04-23 20:54:39,2009-01-22 14:13:14,,validated hosts,
412641,a1.grp.sp2.yahoo.com,475585,,1-prd,host,cabinet-3-a4-34.ops.sp2.yahoo.com,active,sp2,groups|US,SPIOY1918013036,8G26Y,,3,4,A,0,34,a,28,1,konsole1-3-a4-34.ops.sp2.yahoo.com,30028,konsole1-3-a4-34.ops.sp2.yahoo.com,30046,,7,,,,,rsw47-1-prd.sp2.yahoo.com,28,rsw47-1-prd.sp2.yahoo.com,Gi1/28,124,00:30:48:d3:7b:9c,SuperMicro,FreeBSD,1230591806,1237647103,2008-12-29 15:03:26,2009-03-21 07:51:43,,validated hosts,1-713569161
197898,a10.grp.re1.yahoo.com,1023238,,a,host,,active,re1,groups|US,G62T2C1,PowerEdge 860,,0,10,A,7,26,a,13,1,konsole7-10-26.re1.yahoo.com,30013,konsole7-10-26.re1.yahoo.com,30046,0,19,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/13,27,00:15:c5:f5:38:23,Dell Computer Corporation,FreeBSD,1169862293,1232662404,2007-01-26 17:44:53,2009-01-22 14:13:24,,validated hosts,
115286,a10.grp.scd.yahoo.com,133647,,a,host,,active,scd,groups|US,39hjq81,PowerEdge SC1425,,0,13,E,0,5,a,4,1,konsole122.scd.yahoo.com,30021,konsole18.scd.yahoo.com,30046,0,5,,0,0,0,,0,,,,00:14:22:73:11:5b,Dell Computer Corporation,FreeBSD,1139040705,1232662394,2006-02-04 00:11:45,2009-01-22 14:13:14,,validated hosts,
197897,a11.grp.re1.yahoo.com,1023236,,a,host,,active,re1,groups|US,B62T2C1,PowerEdge 860,,0,10,A,7,26,a,14,1,konsole7-10-26.re1.yahoo.com,30014,konsole7-10-26.re1.yahoo.com,30045,0,18,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/14,27,00:15:c5:f5:38:5f,Dell Computer Corporation,FreeBSD,1169862293,1232662404,2007-01-26 17:44:53,2009-01-22 14:13:24,,validated hosts,
115287,a11.grp.scd.yahoo.com,133727,,a,host,,active,scd,groups|US,5jljq81,PowerEdge SC1425,,0,13,E,0,5,a,3,1,konsole122.scd.yahoo.com,30022,konsole18.scd.yahoo.com,30046,0,4,,0,0,0,,0,,,,00:14:22:73:38:22,Dell Computer Corporation,FreeBSD,1139040705,1232662394,2006-02-04 00:11:45,2009-01-22 14:13:14,,validated hosts,
463850,a114.grp.sp2.yahoo.com,1023502,,1-prd,host,,active,sp2,groups|US,D74R3C1,PowerEdge 850,,3,14,A,0,15,a,18,1,konsole1-3-a14-15.ops.sp2.yahoo.com,30018,konsole1-3-a14-15.ops.sp2.yahoo.com,30047,,13,,,,,rsw62-1-prd.sp2.yahoo.com,18,,,,00:15:C5:F5:56:A4,Dell Computer Corporation,FreeBSD,1238024708,1238078398,2009-03-25 16:45:08,2009-03-26 07:39:58,,validated hosts,
197896,a12.grp.re1.yahoo.com,1023235,,a,host,,active,re1,groups|US,762T2C1,PowerEdge 860,,0,10,A,7,26,a,15,1,konsole7-10-26.re1.yahoo.com,30015,konsole7-10-26.re1.yahoo.com,30046,0,18,,0,0,0,,0,c3560-a74.re1.yahoo.com,Gi0/15,27,00:15:c5:f5:34:99,Dell Computer Corporation,FreeBSD,1169862293,1232662404,2007-01-26 17:44:53,2009-01-22 14:13:24,,validated hosts,
115288,a12.grp.scd.yahoo.com,133542,,a,host,,active,scd,groups|US,49hjq81,PowerEdge SC1425,,0,13,E,0,5,a,2,1,konsole122.scd.yahoo.com,30023,konsole18.scd.yahoo.com,30046,0,3,,0,0,0,,0,,,,00:14:22:73:29:0a,Dell Computer Corporation,FreeBSD,1139040705,1232662394,2006-02-04 00:11:45,2009-01-22 14:13:14,,validated hosts,
